,House Name,Location,ImgURL,Price
609,1 Bed Apartment with En Suite in Lavington,1 BEDROOM APARTMENTS IN LAVINGTON FOR SALE,https://i.roamcdn.net/prop/brk/listing-thumb-376w/371ee40bb4f63dacc807fa0738922fdf/-/prod-property-core-backend-media-brk/6669740/cdc74b08-0c53-473f-81f1-4523b43118b3.jpg,"KSh 6,950,000"
610,2 Bed Apartment with En Suite at Waiyaki Way,2 & 3 bedroom apartments for sale in Westlands,https://i.roamcdn.net/prop/brk/listing-thumb-376w/a7c2f73fd6b6bc5f215aaa2c0a845cf5/-/prod-property-core-backend-media-brk/6669715/a22b1095-a732-4de3-a2e5-df6fe36552ab.jpg,"KSh 25,000,000"
611,Serviced 2 Bed Apartment with En Suite at Kirichwa Road,2 & 3 bedroom apartments for sale in Kilimani,https://i.roamcdn.net/prop/brk/listing-thumb-376w/2f61ff31eb0c7f7ff5f29c34ff6f8810/-/prod-property-core-backend-media-brk/6669643/8030b1be-c478-43ab-a41c-1a8190771d85.jpeg,"KSh 2,950,000"
612,1.36 ac Commercial Land at Kingongo,1.36 ACRE COMMERCIAL PLOT FOR SALE IN KINGONGO ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/5bd7ebc9ea9dcc1161ddf2b6e3a8ff02/-/prod-property-core-backend-media-brk/6669615/1cf7478e-2333-498d-9283-2f1186efd7d1.png,"KSh 1,650,000"
613,3 Bed House with En Suite at Casurina Road,3 Bedroom Bungalow + DSQ For sale,https://i.roamcdn.net/prop/brk/listing-thumb-376w/7e36d46935f8b204dac69d0a0b8de8e0/-/prod-property-core-backend-media-brk/6669505/72b520be-b6b2-457a-9250-a5b75c3eb6c7.jpeg,"KSh 32,000,000"
614,4 Bed Townhouse with En Suite at Ushirika Road,4 BEDROOM HOUSE FOR SALE IN KAREN NAIROBI KENYA,https://i.roamcdn.net/prop/brk/listing-thumb-376w/2770a4f975a60d669b3394711a0e08aa/-/prod-property-core-backend-media-brk/6669420/9e1c75a4-e6e9-4d73-8ecc-30d35de46fc3.png,"KSh 21,500,000"
615,5 Bed Villa with En Suite at James Gichuru Road,5 Bedroom Villa For Sale In Lavington Near Lavi ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/58cb9fc876c39993c4cbbd2e8430f5f7/-/prod-property-core-backend-media-brk/6669278/6e6dda3d-f504-4dec-bcfa-b73803a067b2.jpeg,"KSh 39,000,000"
616,3 Bed Apartment with Gym at Thika Road,Exclusively Designed Three Bedrooms Duplex Mode ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/f7cd8ac5762adf7b177231c6ad6e8951/-/prod-property-core-backend-media-brk/6669243/7cf80bd4-d181-4531-afb1-64e3f5253390.jpg,"KSh 25,000,000"
617,Serviced 3 Bed Apartment with En Suite at Reef Hotel,JUMEIRAH PALMS 3 & 4 BEDROOM APARTMENTS FOR ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/cf236fcbd8f3bf4895ed45ebae8aba7f/-/prod-property-core-backend-media-brk/6669176/b89d5709-b172-433f-8b86-bfdce5cb2cce.jpeg,"KSh 30,000,000"
618,1 Bed Apartment with Gym at Thika Road,Stylish One Bedroom Modern Apartments,https://i.roamcdn.net/prop/brk/listing-thumb-376w/e4fc31b1280030029ee2ae3a02be97c7/-/prod-property-core-backend-media-brk/6669206/c82542b3-9194-4caf-88a0-b13eac533e89.jpg,"KSh 55,000,000"
619,Studio Apartment with Gym at Thika Road,Stunning Modern Studio Apartment,https://i.roamcdn.net/prop/brk/listing-thumb-376w/7f07fbe783054690675d707a03797dc2/-/prod-property-core-backend-media-brk/6513091/a53f9a17-2622-4147-be61-e9bb93b4e4d8.jpg,"KSh 85,000,000"
620,4 Bed Townhouse with En Suite in Kiambu Road,Nestled In a Gated Community off Kiambu Road 4 ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/2a3ada9595a1c97fd48e11f40a0c8e68/-/prod-property-core-backend-media-brk/4669396/4c7a20a0-492d-4ae8-ba21-c5022925d282.jpg,"KSh 8,600,000"
621,4 Bed Apartment with Swimming Pool in Kileleshwa,NEW & OFFPLAN 4 BEDROOMS APARMENT PLUS DSQ FOR ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/25b6830d2894f7501941073ef89c71d6/-/prod-property-core-backend-media-brk/5833355/4faf869b-02c1-4d3e-a86b-8f71f3f93d95.jpg,"KSh 2,000,000"
622,4 Bed Townhouse with En Suite in Kiambu Road,NEW PROJECT Beautiful 4 Bedroom Townhouse For S ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/25ade76a5797d33c1377cba74f682051/-/prod-property-core-backend-media-brk/2145052/4a966c55-832e-4482-90dd-911149933ba8.jpg,"KSh 460,000"
623,4 Bed Apartment with Swimming Pool in Kileleshwa,■ Exquisite 4-Bedroom Apartments with DSQ for S ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/b08230d9b92560d51d08c5b3830a10ea/-/prod-property-core-backend-media-brk/6174631/253537bd-c67f-466a-9877-486bcb422c90.jpeg,"KSh 7,100,000"
